date,use,demand (TWh)
2025-08-23,"NTS Energy Offtaken, Industrial Offtake Total",0.036718931
2025-08-23,"NTS Energy Offtaken, LDZ Offtake Total",0.48398325
2025-08-23,"NTS Energy Offtaken, Powerstations Total",0.355317475
2025-08-22,"NTS Energy Offtaken, Industrial Offtake Total",0.032769294
2025-08-22,"NTS Energy Offtaken, LDZ Offtake Total",0.589813603
2025-08-22,"NTS Energy Offtaken, Powerstations Total",0.386806347
2025-08-21,"NTS Energy Offtaken, Industrial Offtake Total",0.032694175
2025-08-21,"NTS Energy Offtaken, LDZ Offtake Total",0.562601959
2025-08-21,"NTS Energy Offtaken, Powerstations Total",0.403540875
2025-08-20,"NTS Energy Offtaken, Industrial Offtake Total",0.042212948
2025-08-20,"NTS Energy Offtaken, LDZ Offtake Total",0.559278238
2025-08-20,"NTS Energy Offtaken, Powerstations Total",0.426657031
2025-08-19,"NTS Energy Offtaken, Industrial Offtake Total",0.030465881
2025-08-19,"NTS Energy Offtaken, LDZ Offtake Total",0.519802156
2025-08-19,"NTS Energy Offtaken, Powerstations Total",0.371008388
2025-08-18,"NTS Energy Offtaken, Industrial Offtake Total",0.038734662
2025-08-18,"NTS Energy Offtaken, LDZ Offtake Total",0.54542223
2025-08-18,"NTS Energy Offtaken, Powerstations Total",0.49158474
2025-08-17,"NTS Energy Offtaken, Industrial Offtake Total",0.031147815
2025-08-17,"NTS Energy Offtaken, LDZ Offtake Total",0.447731528
2025-08-17,"NTS Energy Offtaken, Powerstations Total",0.278213671
2025-08-16,"NTS Energy Offtaken, Industrial Offtake Total",0.032170355
2025-08-16,"NTS Energy Offtaken, LDZ Offtake Total",0.428297495
2025-08-16,"NTS Energy Offtaken, Powerstations Total",0.273995952
2025-08-15,"NTS Energy Offtaken, Industrial Offtake Total",0.02757554
2025-08-15,"NTS Energy Offtaken, LDZ Offtake Total",0.457250728
2025-08-15,"NTS Energy Offtaken, Powerstations Total",0.354415848
2025-08-14,"NTS Energy Offtaken, Industrial Offtake Total",0.027174854
2025-08-14,"NTS Energy Offtaken, LDZ Offtake Total",0.485071558
2025-08-14,"NTS Energy Offtaken, Powerstations Total",0.496854968
2025-08-13,"NTS Energy Offtaken, Industrial Offtake Total",0.038222657
2025-08-13,"NTS Energy Offtaken, LDZ Offtake Total",0.487756544
2025-08-13,"NTS Energy Offtaken, Powerstations Total",0.527031562
2025-08-12,"NTS Energy Offtaken, Industrial Offtake Total",0.038962877
2025-08-12,"NTS Energy Offtaken, LDZ Offtake Total",0.490932885
2025-08-12,"NTS Energy Offtaken, Powerstations Total",0.511819834
2025-08-11,"NTS Energy Offtaken, Industrial Offtake Total",0.03952099
2025-08-11,"NTS Energy Offtaken, LDZ Offtake Total",0.501406049
2025-08-11,"NTS Energy Offtaken, Powerstations Total",0.435463925
2025-08-10,"NTS Energy Offtaken, Industrial Offtake Total",0.027857349
2025-08-10,"NTS Energy Offtaken, LDZ Offtake Total",0.449757506
2025-08-10,"NTS Energy Offtaken, Powerstations Total",0.240480156
2025-08-09,"NTS Energy Offtaken, Industrial Offtake Total",0.028150355
2025-08-09,"NTS Energy Offtaken, LDZ Offtake Total",0.464724562
2025-08-09,"NTS Energy Offtaken, Powerstations Total",0.194891149
2025-08-08,"NTS Energy Offtaken, Industrial Offtake Total",0.030802048
2025-08-08,"NTS Energy Offtaken, LDZ Offtake Total",0.527235742
2025-08-08,"NTS Energy Offtaken, Powerstations Total",0.227926126
2025-08-07,"NTS Energy Offtaken, Industrial Offtake Total",0.027923727
2025-08-07,"NTS Energy Offtaken, LDZ Offtake Total",0.519734193
2025-08-07,"NTS Energy Offtaken, Powerstations Total",0.214969019
2025-08-06,"NTS Energy Offtaken, Industrial Offtake Total",0.025773851
2025-08-06,"NTS Energy Offtaken, LDZ Offtake Total",0.516751976
2025-08-06,"NTS Energy Offtaken, Powerstations Total",0.229254869
2025-08-05,"NTS Energy Offtaken, Industrial Offtake Total",0.036957054
2025-08-05,"NTS Energy Offtaken, LDZ Offtake Total",0.53238435
2025-08-05,"NTS Energy Offtaken, Powerstations Total",0.191029401
2025-08-04,"NTS Energy Offtaken, Industrial Offtake Total",0.027187195
2025-08-04,"NTS Energy Offtaken, LDZ Offtake Total",0.506504205
2025-08-04,"NTS Energy Offtaken, Powerstations Total",0.210529535
2025-08-03,"NTS Energy Offtaken, Industrial Offtake Total",0.025640847
2025-08-03,"NTS Energy Offtaken, LDZ Offtake Total",0.460460542
2025-08-03,"NTS Energy Offtaken, Powerstations Total",0.19359464
2025-08-02,"NTS Energy Offtaken, Industrial Offtake Total",0.027454186
2025-08-02,"NTS Energy Offtaken, LDZ Offtake Total",0.441535237
2025-08-02,"NTS Energy Offtaken, Powerstations Total",0.170035825
2025-08-01,"NTS Energy Offtaken, Industrial Offtake Total",0.029285932
2025-08-01,"NTS Energy Offtaken, LDZ Offtake Total",0.510803218
2025-08-01,"NTS Energy Offtaken, Powerstations Total",0.170000489
2025-07-31,"NTS Energy Offtaken, Industrial Offtake Total",0.028566562
2025-07-31,"NTS Energy Offtaken, LDZ Offtake Total",0.51196172
2025-07-31,"NTS Energy Offtaken, Powerstations Total",0.286952418
2025-07-30,"NTS Energy Offtaken, Industrial Offtake Total",0.026136523
2025-07-30,"NTS Energy Offtaken, LDZ Offtake Total",0.493793319
2025-07-30,"NTS Energy Offtaken, Powerstations Total",0.353794004
2025-07-29,"NTS Energy Offtaken, Industrial Offtake Total",0.035824812
2025-07-29,"NTS Energy Offtaken, LDZ Offtake Total",0.495941714
2025-07-29,"NTS Energy Offtaken, Powerstations Total",0.449742105
2025-07-28,"NTS Energy Offtaken, Industrial Offtake Total",0.028316619
2025-07-28,"NTS Energy Offtaken, LDZ Offtake Total",0.511009845
2025-07-28,"NTS Energy Offtaken, Powerstations Total",0.315904494
2025-07-27,"NTS Energy Offtaken, Industrial Offtake Total",0.025967256
2025-07-27,"NTS Energy Offtaken, LDZ Offtake Total",0.459257388
2025-07-27,"NTS Energy Offtaken, Powerstations Total",0.254192787
2025-07-26,"NTS Energy Offtaken, Industrial Offtake Total",0.029200855
